Temperature_C,Humidity_pct,Smoke_ppm,Fire_Sensor,Wind_kmh,ForestFire
36.1,54.9,12.0,0,8.1,1
35.4,49.0,41.0,0,4.2,0
27.0,69.6,77.0,0,10.9,0
37.5,47.3,63.0,0,18.8,0
38.9,37.3,77.0,0,6.9,1
42.6,47.2,65.0,0,12.3,0
42.4,54.8,152.0,0,0.2,1
25.4,45.9,25.0,0,2.3,0
28.4,45.7,32.0,0,10.8,0
38.6,32.4,29.0,0,16.9,1
38.6,33.1,106.0,0,10.1,1
38.6,19.8,112.0,0,6.1,1
60.0,76.5,78.0,0,8.0,0
39.0,22.6,141.0,0,0.5,0
42.9,32.5,21.0,0,11.6,0
41.7,32.1,207.0,0,13.3,1
39.6,61.1,185.0,0,5.3,0
32.8,39.7,98.0,0,5.2,0
40.3,67.5,227.0,1,9.6,0
29.6,32.9,15.0,0,5.4,0
33.3,50.0,36.0,0,7.6,1
31.6,30.0,30.0,0,20.6,0
35.6,83.6,97.0,0,6.5,1
51.2,23.6,24.0,1,5.8,1
21.9,50.6,100.0,0,4.1,0
39.8,56.4,163.0,0,12.5,1
23.7,52.4,95.0,0,6.9,0
31.7,41.7,69.0,0,4.1,1
42.6,42.7,25.0,0,15.9,1
35.4,45.8,28.0,0,16.5,0
27.5,42.4,148.0,1,4.4,0
30.0,62.3,102.0,0,0.0,0
39.8,84.8,53.0,1,14.0,0
29.9,35.0,39.0,0,3.9,0
36.5,20.3,11.0,0,12.7,1
35.3,43.4,23.0,0,0.0,1
30.4,91.4,252.0,0,13.4,1
50.0,30.5,20.0,0,0.7,1
39.4,74.5,64.0,0,12.4,0
20.8,75.2,122.0,0,8.1,0
36.3,35.0,20.0,0,2.3,0
30.4,55.2,63.0,0,5.6,0
41.0,74.3,116.0,0,12.1,1
29.5,38.2,55.0,0,8.6,1
34.2,41.3,542.0,0,11.5,0
38.5,34.5,14.0,0,19.9,0
41.1,26.7,127.0,0,0.0,0
26.6,33.3,48.0,0,17.7,1
32.7,23.0,101.0,0,8.6,0
31.7,45.6,78.0,0,2.6,1
30.4,31.1,30.0,0,0.0,1
47.4,49.2,66.0,0,6.9,0
37.8,17.0,12.0,0,13.5,1
26.2,51.0,88.0,0,7.2,0
41.4,60.0,69.0,0,17.1,1
49.9,9.1,91.0,1,0.0,1
42.2,51.7,127.0,0,7.9,0
24.4,67.1,73.0,0,0.5,1
31.6,23.2,61.0,0,10.2,0
43.9,75.1,27.0,0,13.3,1
30.0,52.5,31.0,0,5.5,0
38.1,32.3,141.0,0,0.0,1
40.4,44.0,172.0,0,9.2,1
28.5,55.0,45.0,0,10.6,0
34.6,46.4,57.0,0,10.4,1
12.3,54.7,26.0,0,15.4,0
27.8,28.4,140.0,0,1.6,1
33.2,48.0,93.0,0,12.1,1
26.3,19.6,258.0,0,15.2,1
46.4,43.0,27.0,0,0.0,1
25.0,28.7,40.0,0,9.9,0
31.9,31.8,66.0,0,5.0,0
35.9,67.2,92.0,0,7.5,0
45.1,64.6,46.0,1,10.1,0
24.9,56.0,27.0,0,5.1,0
43.1,25.3,111.0,0,3.9,1
35.1,39.3,97.0,0,8.2,0
28.1,66.8,26.0,0,1.5,0
38.2,47.6,161.0,0,1.5,0
36.4,86.7,139.0,0,12.1,0
30.8,52.1,61.0,0,1.1,0
35.5,48.5,58.0,0,12.0,0
32.3,39.4,85.0,0,10.8,0
35.8,47.4,27.0,0,0.0,0
39.6,42.3,56.0,0,3.9,0
46.1,57.7,10.0,0,15.2,1
26.3,62.2,110.0,0,2.1,0
49.9,30.9,16.0,1,5.2,1
21.3,21.0,182.0,0,10.8,1
33.9,11.9,42.0,0,12.7,1
39.1,54.1,46.0,0,6.5,0
37.0,25.1,33.0,0,4.4,1
30.6,6.2,43.0,0,16.5,1
33.5,52.0,170.0,0,18.4,1
31.5,89.9,7.0,0,13.9,0
30.9,44.9,152.0,0,8.5,1
40.9,60.1,72.0,0,3.2,1
37.5,46.5,21.0,0,3.0,1
30.1,43.2,23.0,0,11.1,0
41.3,61.5,209.0,0,10.5,0
37.2,39.8,26.0,0,16.4,1
40.7,49.8,22.0,0,11.9,1
39.4,50.8,136.0,0,0.0,0
29.2,33.0,72.0,0,14.3,1
31.1,62.9,26.0,0,2.0,1
40.2,41.9,65.0,0,5.7,1
39.3,31.4,24.0,0,9.5,0
34.9,54.7,132.0,0,20.0,0
35.8,28.8,128.0,0,26.7,0
43.9,45.5,84.0,0,11.6,0
30.9,44.8,73.0,0,6.9,0
38.8,64.5,223.0,1,11.2,1
33.6,53.5,55.0,0,13.3,0
33.5,44.5,21.0,0,6.1,1
42.7,59.7,78.0,1,18.8,0
40.8,70.0,290.0,0,9.4,0
40.7,55.0,24.0,0,11.0,0
44.1,45.2,41.0,0,12.0,1
35.1,21.4,76.0,0,10.5,1
39.8,25.8,52.0,0,13.0,0
32.8,39.5,25.0,0,4.3,0
37.3,34.0,134.0,1,4.7,0
34.1,41.6,349.0,0,1.4,1
35.7,46.0,64.0,0,10.6,0
39.2,54.5,26.0,0,12.7,0
29.3,43.7,16.0,0,10.7,0
49.6,53.8,67.0,0,18.0,0
28.0,46.2,132.0,0,8.0,0
26.5,9.4,80.0,0,12.0,1
43.1,28.1,54.0,0,1.4,0
40.5,42.4,34.0,0,5.7,0
39.4,23.2,23.0,0,12.2,1
39.4,55.8,106.0,0,13.1,1
34.9,72.6,113.0,0,6.2,0
28.7,66.9,16.0,0,7.6,0
35.5,41.2,195.0,0,0.0,0
30.3,71.8,86.0,0,5.9,0
41.8,47.7,167.0,0,13.3,1
34.0,38.9,19.0,0,11.5,0
29.2,34.0,18.0,0,11.0,0
32.8,39.6,48.0,0,8.3,1
37.9,38.0,82.0,0,8.0,1
31.1,48.1,230.0,0,4.0,0
29.2,47.9,96.0,0,12.2,1
36.7,45.1,45.0,1,10.5,0
36.7,52.9,24.0,1,11.0,1
31.5,66.4,146.0,0,4.8,0
31.7,62.1,25.0,0,0.0,0
36.6,18.3,201.0,0,14.6,0
24.9,5.0,43.0,0,5.1,1
25.1,61.8,195.0,0,2.8,0
30.0,20.4,94.0,0,12.2,1
33.5,41.0,49.0,0,5.6,1
37.2,23.9,36.0,0,14.4,0
45.3,12.6,42.0,0,11.7,0
41.0,54.7,77.0,0,12.1,0
33.9,58.7,58.0,0,0.0,1
34.9,34.6,34.0,0,15.3,1
28.0,5.0,48.0,0,9.6,1
34.9,35.2,58.0,0,5.8,1
33.0,52.1,10.0,0,8.9,0
37.3,18.4,79.0,0,0.0,1
29.2,48.3,25.0,0,10.5,0
38.6,44.7,22.0,0,1.8,1
45.7,55.4,14.0,1,0.0,1
34.2,47.2,13.0,0,0.0,1
37.8,27.5,18.0,0,14.7,1
39.8,66.5,31.0,0,4.2,1
32.2,42.1,261.0,0,17.2,0
36.6,44.5,36.0,1,4.8,1
35.1,28.2,63.0,0,0.0,0
35.7,37.0,75.0,0,1.3,1
29.6,29.1,61.0,0,15.4,0
35.2,41.9,51.0,0,7.1,0
38.5,75.8,21.0,0,4.7,0
45.2,20.3,174.0,1,9.0,1
41.7,16.0,232.0,1,11.0,1
50.1,71.5,14.0,0,14.7,0
29.6,41.2,24.0,0,16.7,1
41.1,33.0,44.0,0,5.8,1
36.3,63.7,25.0,0,0.0,0
50.3,34.1,82.0,0,5.5,0
29.3,77.9,30.0,0,9.6,0
29.1,57.2,309.0,0,2.2,0
30.8,36.2,142.0,0,2.3,1
20.1,83.8,65.0,0,10.1,1
31.3,34.1,124.0,0,7.7,0
29.7,58.4,132.0,0,8.2,1
36.1,50.4,35.0,0,3.4,0
37.4,68.4,28.0,0,6.6,0
48.1,73.1,58.0,0,2.5,1
41.7,45.6,109.0,0,13.3,0
31.0,31.4,61.0,0,14.2,1
28.7,53.3,15.0,0,0.0,0
38.4,32.8,29.0,0,2.4,1
25.8,81.2,51.0,0,0.0,0
47.8,47.5,51.0,0,4.1,1
43.3,38.4,265.0,0,7.5,1
31.7,48.3,18.0,0,0.0,0
23.0,20.8,82.0,0,2.5,1
44.5,27.5,180.0,0,2.0,0
34.2,66.6,336.0,0,9.2,1
43.7,33.2,40.0,0,8.4,0
23.8,26.2,81.0,0,3.7,1
30.8,54.7,86.0,0,9.1,0
35.0,66.3,64.0,1,4.7,1
35.3,57.9,50.0,0,6.4,0
31.8,62.9,77.0,0,18.0,1
39.4,31.4,7.0,0,16.0,0
27.5,19.4,94.0,0,0.2,1
34.0,72.0,60.0,0,13.0,0
35.8,39.2,46.0,0,12.9,0
38.6,40.5,281.0,0,1.1,1
40.0,68.9,32.0,0,12.9,0
27.1,55.0,40.0,0,17.2,1
24.3,53.2,269.0,0,1.3,1
43.9,84.0,28.0,0,2.5,0
37.3,33.4,35.0,0,14.1,0
29.8,61.7,49.0,0,9.6,0
45.9,46.0,107.0,0,11.3,1
35.8,49.8,64.0,0,10.0,1
43.3,72.5,19.0,0,10.3,1
35.5,54.1,36.0,0,0.0,0
49.4,54.7,34.0,0,14.3,1
47.3,64.3,51.0,0,15.0,0
33.3,38.4,77.0,0,6.6,1
41.8,29.9,76.0,0,7.7,1
39.5,26.2,13.0,0,0.0,1
44.6,9.6,128.0,0,11.1,1
28.2,82.0,67.0,0,11.4,0
39.8,25.1,165.0,0,7.6,0
42.4,41.0,78.0,0,14.7,0
22.7,40.0,132.0,0,6.0,0
26.7,50.5,79.0,0,11.4,1
20.7,59.7,160.0,0,1.9,1
33.1,60.5,83.0,0,7.9,0
40.0,34.5,50.0,0,7.0,1
45.5,42.0,336.0,0,9.4,0
35.5,50.1,111.0,0,5.8,1
46.4,40.5,86.0,0,7.2,1
25.3,73.9,20.0,0,13.0,0
23.1,53.8,19.0,0,5.4,1
34.6,58.2,69.0,0,0.0,0
37.7,56.9,61.0,0,18.5,0
34.8,66.1,33.0,0,16.3,1
20.5,48.3,61.0,0,0.2,0
34.4,21.7,195.0,0,12.1,1
25.9,52.2,95.0,0,5.0,0
39.7,33.3,22.0,0,9.6,1
37.6,35.5,50.0,0,9.8,0
28.4,55.6,29.0,0,6.6,1
31.4,67.3,40.0,0,3.3,1
27.6,45.4,39.0,0,3.9,1
34.6,50.6,37.0,0,2.5,1
41.7,75.6,20.0,0,3.0,1
28.1,49.3,49.0,0,7.6,0
38.5,91.8,35.0,1,3.7,0
31.3,55.2,5.0,0,12.1,1
29.4,13.3,282.0,1,16.9,1
34.3,58.6,130.0,0,4.5,0
27.8,51.9,40.0,0,9.4,0
31.1,68.2,55.0,0,11.0,1
26.6,57.1,21.0,0,10.8,1
48.8,42.5,212.0,0,8.5,1
35.2,23.0,249.0,0,12.5,1
30.1,41.2,62.0,0,10.9,1
36.5,29.7,124.0,1,0.6,1
34.2,34.6,63.0,0,13.2,1
33.5,55.6,19.0,0,13.3,0
39.3,75.1,39.0,0,3.4,1
40.3,52.1,61.0,0,8.2,0
31.3,23.5,38.0,0,12.1,0
31.0,53.0,46.0,0,6.7,0
33.1,66.5,51.0,0,14.4,1
18.9,34.0,51.0,0,22.2,0
24.4,42.6,57.0,0,3.3,1
44.6,45.3,23.0,1,0.0,0
46.5,30.9,31.0,1,9.8,1
33.3,56.7,20.0,0,12.3,0
39.0,42.8,119.0,0,6.6,0
37.2,52.6,10.0,0,16.7,1
56.6,29.0,137.0,1,0.0,1
42.8,37.1,166.0,0,12.2,1
34.1,58.0,43.0,0,4.4,1
28.3,38.3,7.0,0,18.3,1
23.8,76.1,41.0,0,20.0,0
36.4,37.8,52.0,0,3.4,0
29.7,49.0,24.0,0,4.7,1
25.0,61.8,36.0,0,13.2,0
30.5,19.5,186.0,0,5.7,0
27.4,13.3,93.0,0,7.7,0
46.8,17.5,26.0,0,8.2,1
41.2,67.7,15.0,0,0.0,0
34.9,35.1,42.0,0,7.9,1
45.4,91.0,46.0,0,3.9,0
35.5,34.8,81.0,0,5.0,1
29.0,48.3,36.0,0,16.7,0
45.7,72.8,82.0,0,0.5,0
38.8,81.1,257.0,0,12.9,0
27.7,82.1,105.0,0,6.3,0
33.7,66.8,53.0,0,6.3,0
28.9,63.4,47.0,0,12.7,1
25.3,55.7,41.0,0,10.0,1
41.5,59.0,140.0,0,11.4,1
48.4,35.1,33.0,0,13.8,0
25.2,30.3,57.0,0,6.0,0
38.9,44.9,57.0,0,4.3,1
30.4,41.9,37.0,0,1.5,0
31.6,36.8,18.0,0,3.0,1
30.9,57.5,71.0,0,25.7,0
29.0,62.2,52.0,0,15.5,1
35.3,46.6,81.0,1,0.0,1
29.2,71.6,36.0,0,0.1,1
36.9,24.4,145.0,0,10.9,1
34.6,41.5,27.0,0,11.3,1
33.3,32.1,215.0,0,11.3,1
28.6,11.4,13.0,0,6.5,0
31.0,43.5,77.0,0,7.2,1
40.3,42.8,80.0,0,10.0,0
38.5,72.2,29.0,0,8.5,1
28.2,56.4,77.0,0,0.0,1
35.7,26.6,152.0,0,6.6,1
40.3,78.4,9.0,0,2.9,1
23.3,67.0,82.0,0,9.1,0
38.8,55.5,7.0,0,25.9,1
30.4,40.9,25.0,0,10.2,0
39.0,27.7,201.0,0,6.1,0
29.7,38.3,34.0,0,13.5,0
22.4,64.6,21.0,0,10.9,0
23.6,78.9,47.0,0,10.5,0
35.3,72.8,286.0,0,11.6,0
36.8,36.2,13.0,0,20.3,0
28.7,24.8,24.0,0,1.2,1
39.5,47.5,181.0,1,10.8,1
23.4,13.2,241.0,0,2.4,1
34.5,50.8,50.0,1,11.3,0
26.5,42.3,20.0,0,2.5,0
30.4,36.6,292.0,0,5.5,1
35.3,16.3,195.0,0,6.2,0
29.0,54.2,94.0,0,13.9,1
32.3,35.4,29.0,0,13.5,1
42.0,23.9,52.0,1,0.5,1
31.0,5.0,48.0,0,8.3,1
40.8,44.5,71.0,0,3.7,1
27.1,76.9,174.0,0,0.4,0
38.7,74.9,110.0,0,6.7,0
45.1,36.8,23.0,0,6.1,1
17.7,34.2,164.0,0,22.6,0
29.4,53.4,70.0,0,10.6,0
39.0,27.0,95.0,0,0.0,0
33.6,50.4,176.0,0,4.6,0
37.6,58.8,22.0,0,14.1,1
30.8,67.1,53.0,0,20.5,0
35.6,43.2,36.0,0,0.0,0
33.9,41.3,16.0,0,0.0,1
43.2,29.2,72.0,1,19.2,1
36.8,30.1,407.0,0,10.3,0
37.4,40.9,13.0,0,2.8,1
32.1,51.6,53.0,0,11.2,0
31.6,61.4,91.0,0,0.0,1
32.0,30.5,60.0,0,8.0,0
37.8,71.9,50.0,0,10.0,0
32.1,40.1,19.0,0,13.5,1
37.0,44.6,66.0,0,1.9,0
49.5,31.6,30.0,1,8.5,1
41.1,5.0,9.0,0,2.4,1
32.7,60.9,142.0,1,9.5,1
43.4,58.3,118.0,0,2.6,1
32.1,39.9,57.0,0,5.6,1
20.7,46.2,66.0,0,2.0,0
27.9,54.3,129.0,1,11.9,1
21.9,16.9,65.0,0,13.2,1
32.5,35.5,113.0,0,6.6,1
35.1,59.3,43.0,0,8.2,0
46.7,22.4,156.0,0,0.0,0
37.3,50.3,71.0,0,6.2,1
33.5,20.6,64.0,0,7.7,1
40.8,53.4,20.0,1,23.7,0
19.5,44.4,69.0,0,1.3,1
36.6,15.9,28.0,0,16.8,0
40.4,66.0,33.0,0,14.0,0
24.6,31.8,28.0,0,9.7,0
43.0,30.4,23.0,0,18.6,1
37.4,48.6,299.0,1,10.2,0
32.1,65.7,158.0,0,10.3,0
39.4,26.7,254.0,1,7.7,1
50.9,46.1,21.0,1,15.3,1
36.3,52.7,58.0,0,14.6,1
36.7,57.5,19.0,0,4.2,1
31.8,48.2,31.0,0,0.1,0
29.1,38.4,26.0,0,6.8,0
40.8,30.1,147.0,1,3.2,1
29.0,46.6,40.0,0,7.6,1
35.5,25.7,128.0,0,15.4,1
31.7,5.0,89.0,0,5.3,1
38.4,52.9,345.0,0,7.7,0
37.3,61.3,17.0,0,8.3,1
42.3,5.0,150.0,0,13.1,1
31.4,26.8,137.0,0,0.0,1
33.1,56.1,25.0,0,4.4,0
28.1,82.0,122.0,0,9.3,0
31.9,45.4,71.0,0,15.2,0
37.6,31.9,46.0,0,5.0,1
40.3,41.7,28.0,0,0.0,0
28.5,69.7,31.0,0,11.7,1
41.1,33.4,281.0,0,4.2,1
44.5,30.6,55.0,1,0.9,1
37.9,36.3,102.0,0,4.3,0
48.1,27.8,29.0,1,6.9,1
29.6,47.2,29.0,0,4.4,0
26.3,74.2,130.0,0,0.0,0
22.5,50.8,19.0,0,13.4,1
45.5,40.5,39.0,0,15.6,1
39.6,39.7,56.0,0,11.9,0
34.6,16.9,60.0,0,1.2,1
37.0,60.9,47.0,0,6.8,1
27.1,43.6,75.0,0,8.0,1
52.1,41.8,95.0,0,11.6,0
35.9,100.0,98.0,0,12.0,1
35.8,50.4,25.0,0,3.6,1
40.1,31.5,43.0,0,8.5,1
38.4,37.3,142.0,0,10.7,1
36.6,65.7,112.0,0,16.7,0
29.5,47.0,18.0,0,12.2,0
38.3,19.1,72.0,0,12.7,1
48.2,61.5,11.0,0,8.5,1
44.4,33.0,57.0,0,16.5,0
46.2,78.7,249.0,0,10.5,0
31.4,64.4,26.0,0,2.8,1
28.1,36.9,28.0,0,16.4,0
34.1,68.1,101.0,0,12.2,0
35.4,46.2,16.0,0,5.3,0
42.7,60.3,33.0,0,5.1,0
23.2,53.7,88.0,0,9.8,1
45.7,29.8,33.0,0,10.8,1
33.9,33.4,45.0,0,9.2,0
32.0,63.5,99.0,0,9.9,1
27.9,39.0,76.0,0,18.2,0
23.4,37.7,68.0,0,14.4,0
40.8,27.8,42.0,0,9.1,0
35.5,52.6,73.0,0,13.6,0
26.0,82.1,49.0,0,1.8,0
25.9,25.8,79.0,0,10.4,0
32.6,45.4,37.0,0,18.9,0
46.7,70.4,47.0,0,6.7,1
33.2,43.6,25.0,0,2.9,1
24.5,53.1,53.0,0,4.1,1
33.3,25.9,29.0,0,1.5,1
33.1,52.7,22.0,0,3.3,1
16.1,41.6,67.0,0,5.8,1
34.6,62.7,65.0,0,0.0,0
33.4,66.4,102.0,0,8.1,0
39.9,91.6,39.0,0,13.4,1
47.9,55.4,76.0,0,2.6,0
42.9,50.9,85.0,1,17.1,0
33.1,48.5,78.0,0,11.1,1
27.3,38.6,28.0,0,14.2,0
53.0,51.1,62.0,1,4.1,1
35.4,39.7,73.0,1,13.1,1
35.1,48.0,55.0,0,1.4,0
34.8,68.7,10.0,0,13.3,1
36.4,26.9,62.0,0,9.0,0
34.0,65.5,321.0,0,11.3,1
31.0,68.7,41.0,0,0.9,0
31.2,42.9,30.0,0,2.6,1
34.8,6.8,74.0,0,11.6,0
31.2,34.1,70.0,0,2.3,1
30.0,68.3,142.0,0,10.8,0
35.7,44.6,20.0,0,0.0,0
33.2,27.0,98.0,1,13.1,1
45.5,35.9,88.0,0,0.6,0
16.4,60.1,49.0,0,11.3,0
42.6,54.8,72.0,0,11.8,0
43.7,40.7,124.0,0,3.8,0
20.5,38.4,110.0,0,11.5,0
32.6,37.9,22.0,0,9.6,0
32.4,28.4,105.0,0,4.8,1
25.1,74.1,52.0,0,1.9,0
29.6,39.2,58.0,0,0.0,1
27.2,66.9,58.0,0,10.1,0
47.3,72.4,48.0,0,0.0,1
41.5,63.0,142.0,0,8.6,0
43.9,37.2,51.0,0,6.4,0
40.1,52.3,22.0,0,12.1,1
27.1,44.6,40.0,0,6.2,0
31.3,28.7,63.0,0,6.0,1
38.4,50.8,146.0,0,12.4,1
26.4,23.8,88.0,0,10.0,0
40.0,66.4,28.0,0,9.9,1
33.3,36.6,399.0,0,10.8,1
32.4,48.6,67.0,0,0.0,0
40.0,50.1,151.0,0,12.5,1
38.1,40.3,48.0,0,11.7,0
32.5,55.6,84.0,0,1.9,0
43.1,36.5,107.0,1,6.5,1
27.4,60.7,145.0,0,7.8,1
39.3,20.8,127.0,0,7.2,0
39.2,47.3,110.0,0,10.0,1
